index,jempol_kanan, x_jempol_kanan, y_jempol_kanan, z_jempol_kanan, telunjuk_kanan, x_jempol_kanan, y_jempol_kanan, z_jempol_kanan, tengah_kanan, x_jempol_kanan, y_jempol_kanan, z_jempol_kanan, manis_kanan, x_manis_kanan, y_manis_kanan, z_manis_kanan, kelingking_kanan, x_kelingking_kanan, y_kelingking_kanan, z_kelingking_kanan, jempol_kiri, x_jempol_kiri, y_jempol_kiri, z_jempol_kiri, telunjuk_kiri, x_telunjuk_kiri, y_telunjuk_kiri, z_telunjuk_kiri, tengah_kiri, x_tengah kiri, y_tengah_kiri, z_tengah_kiri, manis_kiri, x_manis_kiri, y_manis_kiri, z_manis_kiri, kelingking_kiri, x_kelingking_kiri, y_kelingking_kiri, z_kelingking_kiri
1, 58.5299568176, -31.9111, -38.4787, -29.7602, 97.9144058228, -37.8783, 6.16286, -93.1614, 106.307785034, -10.8848, 4.49948, -108.552, 102.153358459, 22.1832, -2.15759, -102.35, 91.5788269043, 49.4086, -17.8986, -77.8789, 67.6925964355, 58.9151, 12.7439, -19.8504, 99.2608108521, 43.9012, 0.202637, -85.1854, 103.626853943, 26.876, -9.09125, -95.6846, 96.9540634155, 1.76497, -8.60173, -92.7366, 88.8939971924, -35.3794, -13.1214, -76.7433
1, 58.4847984314, -31.7704, -38.6225, -29.6715, 97.9096450806, -37.9222, 6.14371, -93.1437, 106.311141968, -10.8833, 4.47107, -108.557, 102.125038147, 21.976, -2.3517, -102.37, 91.5645065308, 49.3788, -17.8199, -77.8983, 67.7005081177, 58.9303, 12.7009, -19.8512, 99.2660293579, 43.9067, 0.207748, -85.185, 103.639755249, 26.8703, -9.06915, -95.6949, 96.9582366943, 1.76672, -8.59081, -92.7401, 88.9013595581, -35.385, -13.0862, -76.7526
1, 58.478729248, -31.6556, -38.7145, -29.623, 97.9468688965, -37.9573, 6.11954, -93.123, 106.365440369, -10.8783, 4.45074, -108.559, 102.128768921, 21.6693, -2.72932, -102.386, 91.6119537354, 49.3958, -17.6963, -77.9088, 67.7086410522, 58.9446, 12.6649, -19.848, 99.2678146362, 43.9145, 0.198318, -85.1816, 103.653427124, 26.8627, -9.04675, -95.7064, 96.9639129639, 1.76538, -8.58011, -92.7446, 88.9069900513, -35.3895, -13.0591, -76.7598
1, 58.4193229675, -31.4969, -38.8264, -29.5643, 97.9457855225, -37.9977, 6.13538, -93.1052, 106.37285614, -10.8669, 4.52013, -108.563, 102.123634338, 21.5571, -2.69171, -102.403, 91.5958023071, 49.3366, -17.6544, -77.9386, 67.7241821289, 58.964, 12.6224, -19.8471, 99.2679748535, 43.9281, 0.179764, -85.1746, 103.663536072, 26.8589, -9.03424, -95.7141, 96.9702224731, 1.76637, -8.57256, -92.7491, 88.9114379883, -35.39, -13.0365, -76.7673
1, 58.4022407532, -31.3671, -38.9248, -29.5041, 97.9912490845, -38.0257, 6.12199, -93.091, 106.435470581, -10.8553, 4.61923, -108.566, 102.178627014, 21.4944, -2.60817, -102.415, 91.6301498413, 49.2739, -17.6451, -77.9651, 67.7381668091, 58.9815, 12.5856, -19.846, 99.2697296143, 43.9404, 0.166397, -85.1691, 103.670082092, 26.8569, -9.02782, -95.7189, 96.9705657959, 1.77512, -8.57228, -92.7492, 88.9118728638, -35.3854, -13.0218, -76.7726
1, 58.3726196289, -31.2735, -39.0037, -29.4522, 98.0025024414, -38.0362, 6.15935, -93.0913, 106.436599731, -10.8453, 4.6888, -108.566, 102.182113647, 21.4509, -2.46527, -102.426, 91.6151885986, 49.1953, -17.6721, -77.9923, 67.7478027344, 58.9977, 12.5517, -19.8388, 99.270324707, 43.9587, 0.139328, -85.16, 103.670043945, 26.8722, -9.0488, -95.7125, 96.9711532593, 1.78934, -8.58228, -92.7484, 88.9122390747, -35.3761, -13.0151, -76.7784
1, 58.371673584, -31.1648, -39.0983, -29.391, 98.0619506836, -38.0379, 6.20731, -93.0939, 106.495651245, -10.8248, 4.73648, -108.57, 102.224632263, 21.3484, -2.51692, -102.437, 91.6373214722, 49.1049, -17.6904, -78.0198, 67.7563171387, 59.0164, 12.4911, -19.8412, 99.2705001831, 43.9772, 0.0716705, -85.1505, 103.669937134, 26.8851, -9.10941, -95.703, 96.9713592529, 1.80182, -8.6239, -92.7445, 88.9127731323, -35.3702, -13.0244, -76.7802
1, 58.3282852173, -31.0374, -39.1931, -29.3302, 98.0683135986, -38.0428, 6.24525, -93.0952, 106.499984741, -10.7895, 4.77753, -108.576, 102.192169189, 21.1664, -2.68961, -102.446, 91.6069946289, 49.0063, -17.7059, -78.0481, 67.7582931519, 59.023, 12.4588, -19.8473, 99.2697677612, 43.981, 0.0178833, -85.1479, 103.668235779, 26.8807, -9.16162, -95.698, 96.9710998535, 1.79813, -8.66028, -92.7412, 88.9126663208, -35.3737, -13.0389, -76.7762
1, 58.2958564758, -30.9022, -39.2677, -29.2788, 98.1252670288, -38.0521, 6.27678, -93.0953, 106.5652771, -10.7631, 4.87726, -108.582, 102.236679077, 21.0798, -2.70216, -102.454, 91.6371917725, 48.932, -17.7262, -78.0693, 67.7601013184, 59.0275, 12.4384, -19.8541, 99.2692108154, 43.9881, -0.00688171, -85.1437, 103.659873962, 26.8814, -9.20889, -95.6874, 96.9704971313, 1.79934, -8.67789, -92.7393, 88.9108047485, -35.3703, -13.0495, -76.7754
1, 58.2238807678, -30.754, -39.351, -29.2138, 98.1145172119, -38.0443, 6.25261, -93.0941, 106.571601868, -10.7427, 4.94093, -108.588, 102.239578247, 21.0245, -2.66666, -102.464, 91.6145401001, 48.8482, -17.7523, -78.0908, 67.7678604126, 59.0338, 12.4179, -19.8729, 99.2683258057, 43.9993, -0.00544739, -85.1369, 103.64881897, 26.8876, -9.23322, -95.6759, 96.9694824219, 1.80628, -8.67719, -92.7389, 88.9076385498, -35.3594, -13.0566, -76.7778
